SN,Site Name,Connection Type,Service No.,Account Number,WAN IP,NW ID,LAN Address (Router IP),ATM IP,LoopBack (Router-id),Tunnel IP DR-ER116,Tunnel IP DR-ER126,Tunnel IP DC-ER316,Tunnel IP DC-ER416,Tunnel IP DR-ER11,Tunnel IP DR-ER12,Tunnel IP DC-ER21,Tunnel IP DC-ER22
24,Bilate ATM,Fiber,9.99993E+11,26315712,10.146.246.44,10.208.27.224,10.208.27.225,10.208.27.226,10.209.4.49,10.220.242.81,10.220.246.81,10.220.250.81,10.220.254.81,,,,
25,Yanet Hospital,ADSL,84101382385,,10.138.222.228,10.208.30.112,10.208.30.113,10.208.30.114,10.209.4.131,10.220.242.165,10.220.246.165,10.220.250.165,10.220.254.165,,,,
26,Hawassa City Administration,ADSL,85101382386,,10.138.222.236,10.208.30.8,10.208.30.9,10.208.30.10,10.209.4.118,10.220.242.152,10.220.246.152,10.220.250.152,10.220.254.152,,,,
27,Yirgalem Fura Institute,ADSL,87101382388,,10.147.224.212,10.208.30.120,10.208.30.121,10.208.30.122,10.209.4.132,10.220.242.166,10.220.246.166,10.220.250.166,10.220.254.166,,,,
28,Lewi Campus Hotel ,ADSL,86101382387,,10.138.222.220,10.208.30.136,10.208.30.137,10.208.30.138,10.209.4.134,10.220.242.168,10.220.246.168,10.220.250.168,10.220.254.168,,,,
29,Hawassa Addisu maremiya,ADSL,19101780530,,10.138.227.140,10.208.32.144,10.208.32.145,10.208.32.146,10.209.4.199,10.220.242.233,10.220.246.233,10.220.250.233,10.220.254.233,,,,
30,Hussien city center,ADSL,18101780529,,10.138.227.108,10.208.32.152,10.208.32.153,10.208.32.154,10.209.4.200,10.220.242.234,10.220.246.234,10.220.250.234,10.220.254.234,,,,
31,Hawassa Air port,ADSL,30101780541,,10.138.227.116,10.208.32.160,10.208.32.161,10.208.32.162,10.209.4.201,10.220.242.235,10.220.246.235,10.220.250.235,10.220.254.235,,,,
32,Yanet Hospital  referral circil,ADSL,17101780528,,10.138.227.148,10.208.32.168,10.208.32.169,10.208.32.170,10.209.4.202,10.220.242.236,10.220.246.236,10.220.250.236,10.220.254.236,,,,
33,Enkutatash ATM,ADSL,94101793835,,10.138.227.196,10.208.33.104,10.208.33.105,10.208.33.106,10.209.4.226,10.220.243.6,10.220.247.6,10.220.251.6,10.220.255.6,,,,
34,Alation Hospital ATM,ADSL,95101793836,,10.138.227.188,10.208.33.95,10.208.33.97,10.208.33.98,10.209.4.225,10.220.243.5,10.220.247.5,10.220.251.5,10.220.255.5,,,,
