SN,Branch Name,Connection Type,Service No.,Account No,WAN Address,Default Gateway,LAN Address,Tunnel IP DR-ER11,Tunnel IP DR-ER12,Tunnel IP DC-ER21,Tunnel IP DC-ER22,District
12.0,Bensa,Fiber,9990029388,,10.147.208.20  VLAN-3874,,10.113.25.1,10.220.144.118,10.220.148.118,10.220.152.118,10.220.156.118,Hawassa
13.0,Bishan Guracha ,Fiber,9.44934E+11,,10.138.205.196 ,,10.112.251.1,10.220.208.93,10.220.212.93,10.220.216.93,10.220.220.93,
14.0,Bona,Fiber,89100012189,,10.147.203.4 VLAN-2026,,10.112.220.1,10.220.144.87,10.220.148.87,10.220.152.87,10.220.156.87,Hawassa
15.0,Bore,Fiber,9990008534,17972543.0,10.147.98.180/10.147.192.244,,10.112.21.1,10.220.144.33,10.220.148.33,10.220.152.33,10.220.156.33,Hawassa
16.0,Boricha,Fiber,9990040637,,10.138.205.28 VLAN-3842,,10.112.110.1,10.220.144.32,10.220.148.32,10.220.152.32,10.220.156.32,Hawassa
17.0,Burra ,VSAT,9990034998,,172.24.0.4/10.21.22.2,172.24.0.1,10.113.106.1,10.220.144.144,10.220.148.144,10.220.152.144,10.220.156.144,Hawassa
18.0,Bursa VSAT,VSAT,9990034666,, 172.24.0.10/10.21.0.2,172.24.0.9,10.112.231.1,10.220.144.96,10.220.148.96,10.220.152.96,10.220.156.96,Hawassa
19.0,Bursa,Fiber,9.99993E+11,,10.147.216.228 VLAN 3872,,,,,,,Hawassa
20.0,Chirri ADSL,ADSL,18100055388,638149155.0,10.147.204.196 VLAN 3704,,10.112.254.1,10.220.144.110,10.220.148.110,10.220.152.110,10.220.156.110,Hawassa
21.0,Chirri VSAT,VSAT,990046830,,172.24.0.20/10.21.126.2,172.24.0.17,10.112.254.1,10.220.144.110,10.220.148.110,10.220.152.110,10.220.156.110,Hawassa
22.0,Daka,Fiber,9990051435,45196384.0,10.138.197.172,,10.112.133.1,10.220.144.35,10.220.148.35,10.220.152.35,10.220.156.35,Hawassa
23.0,Dato,Fiber,9990019459,33429919.0,10.138.195.196,,10.112.28.1,10.220.144.37,10.220.148.37,10.220.152.37,10.220.156.37,Hawassa
,Daye New,Fiber,89101229390,33429919.0,10.147.98.92,,10.112.80.1,10.220.144.39,10.220.148.39,10.220.152.39,10.220.156.39,Hawassa
24.0,Daye Old,ADSL,9990019467,33429919.0,10.147.194.220,,10.112.80.1,10.220.144.39,10.220.148.39,10.220.152.39,10.220.156.39,Hawassa
25.0,Dorebafeno,Fiber,48100049028,,10.138.205.236 VLAN-3840,,10.112.232.1,10.220.144.69,10.220.148.69,10.220.152.69,10.220.156.69,Hawassa
26.0,Dume,Fiber,9990019460,33429919.0,10.138.195.204,,10.112.29.1,10.220.144.46,10.220.148.46,10.220.152.46,10.220.156.46,Hawassa
,Erbamuda Tailored,Fiber,9.99901E+11,,10.147.221.44 VLAN 3364,,10.112.223.1,,,,,
27.0,Erbamuda VSAT,VSAT,990046810,,172.24.0.26/10.21.107.2,172.24.0.25,10.112.223.1,10.220.144.93,10.220.148.93,10.220.152.93,10.220.156.93,Hawassa
28.0,Filtu,Fiber,98100041788,,10.137.220.164 VLAN-2147/10.147.204.4,,10.112.242.1,10.220.144.97,10.220.148.97,10.220.152.97,10.220.156.97,Hawassa
29.0,Fura,Fiber,9990012735,17972543.0,10.138.195.36,,10.112.30.1,10.220.144.47,10.220.148.47,10.220.152.47,10.220.156.47,Hawassa
30.0,Gafima,Fiber,9990030005,,10.138.196.164,,10.112.187.1,10.220.144.73,10.220.148.73,10.220.152.73,10.220.156.73,Hawassa
31.0,Gebreal sefer,Fiber,999909760125/990999121,17972543.0,10.138.195.44,MSG-29,10.112.60.1,10.220.144.50,10.220.148.50,10.220.152.50,10.220.156.50,Hawassa
32.0,Gidabo,Fiber,9990100316,,10.147.198.209,,10.112.183.1,10.220.144.70,10.220.148.70,10.220.152.70,10.220.156.70,Hawassa
34.0,Gorche Tailored,Fiber,9.999E+11,,10.138.217.100 VLAN 2003,,,,,,,Hawassa
35.0,Gorche VSAT,VSAT,9990029744,,172.24.0.35/10.21.109.2,172.24.0.33,10.112.238.1,10.220.144.82,10.220.148.82,10.220.152.82,10.220.156.82,Hawassa
36.0,Gudumale,Fiber,9990100318,,10.138.198.196,,10.112.178.1,10.220.144.60,10.220.148.60,10.220.152.60,10.220.156.60,Hawassa
37.0,Hadokorsa,Fiber,90100018840,,10.147.203.76 VLAN-3903,,10.112.184.1,10.220.144.81,10.220.148.81,10.220.152.81,10.220.156.81,Hawassa
38.0,Hamza,Fiber,16100274556,,10.147.213.28,,10.113.78.1,10.220.144.134,10.220.148.134,10.220.152.134,10.220.156.134,Hawassa
39.0,Hantate,Fiber,9.494E+11,,10.147.204.252 VLAN-3809,,10.112.125.1,10.220.144.48,10.220.148.48,10.220.152.48,10.220.156.48,Hawassa
40.0,Harakelo Tailored,Fiber,9.99992E+11,,10.147.216.204 VLAN 3849,,10.112.222.1,10.220.144.100,10.220.148.100,10.220.152.100,10.220.156.100,Hawassa
41.0,Haranfama VSAT,VSAT,9990053891,,172.24.0.42\10.21.95.2,172.24.0.41,,,,,,Hawassa
42.0,Haranfama Tailored,Fiber,9.99334E+11,,10.147.213.236 VLAN-3818,,10.113.85.1,10.220.144.135,10.220.148.135,10.220.152.135,10.220.156.135,Hawassa
43.0,Hawasa,Fiber,9999000166,17972543.0,10.138.194.76,,10.112.4.1,10.220.144.22,10.220.148.22,10.220.152.22,10.220.156.22,Hawassa
44.0,Hawasa-district office,Fiber,9990093039,,10.138.201.244,,10.112.162.1,10.220.144.86,10.220.148.86,10.220.152.86,10.220.156.86,Hawassa
45.0,Hawassa District Gaffima Office,Fiber,93100329323,,10.138.214.124,,10.113.90.1,10.220.144.138,10.220.148.138,10.220.152.138,10.220.156.138,Hawassa
46.0,Hawassa District Office Southstar,Fiber,93100264653,,10.138.213.188,,10.113.77.1,10.220.144.133,10.220.148.133,10.220.152.133,10.220.156.133,Hawassa
47.0,Hawassa Industrial Park,Fiber,25100040185,,10.138.204.228,10.138.204.226,10.112.240.1,10.220.144.76,10.220.148.76,10.220.152.76,10.220.156.76,Hawassa
48.0,Hawassa Referral Branch,Fiber,94100227934,,10.138.213.36,,10.113.72.1,10.220.144.129,10.220.148.129,10.220.152.129,10.220.156.129,Hawassa
49.0,Hawassa_Addisu_Meneharia,Fiber,49100161249,,10.138.211.252,,10.113.43.1,10.220.144.123,10.220.148.123,10.220.152.123,10.220.156.123,Hawassa
50.0,Hayadima,VSAT,990046813,,172.24.0.52/10.21.97.2,172.24.0.49,10.113.6.1,10.220.144.114,10.220.148.114,10.220.152.114,10.220.156.114,Hawassa
51.0,HIP_Shade_38,ADSL,61100084781,,10.138.209.116,,10.113.18.1,10.220.144.117,10.220.148.117,10.220.152.117,10.220.156.117,Hawassa
52.0,Hoko Girja,VSAT,9990046822,,172.24.0.58/10.21.121.2,172.24.0.57, 10.112.249.1,10.220.144.107,10.220.148.107,10.220.152.107,10.220.156.107,Hawassa
53.0,Hoko Girja Tailored,Fiber,9.99993E+11,,10.147.216.252 VLAN 3839 ,, 10.112.249.1,,,,,Hawassa
54.0,Huladirire,VDSL,9990021974,34983086.0,10.147.195.76,,10.112.92.1,10.220.144.67,10.220.148.67,10.220.152.67,10.220.156.67,Hawassa
55.0,Kokosa ,ADSL,9990033922,,10.141.215.164 VLAN 2134,,10.112.89.1 ,,,,,Hawassa
56.0,Leku,Fiber,9990023621,33429919.0,10.138.196.36 VLAN-3844,,10.112.79.1,10.220.144.21,10.220.148.21,10.220.152.21,10.220.156.21,Hawassa
57.0,Malawo,Fiber,9990030674,,10.147.98.100/10.147.196.4,,10.112.120.1,10.220.144.15,10.220.148.15,10.220.152.15,10.220.156.15,Hawassa
58.0,Manicho,VSAT,9990034669,,172.24.0.169/10.21.1.2,,10.112.230.1,10.220.144.95,10.220.148.95,10.220.152.95,10.220.156.95,Hawassa
59.0,Manicho Tailored,Fiber,999900258727Â ,,10.138.217.36 VLAN 2001,,,,,,,Hawassa
60.0,Mesincho,Fiber,9990029993,,10.147.195.228,,10.112.193.1,10.220.144.75,10.220.148.75,10.220.152.75,10.220.156.75,Hawassa
61.0,Mountain Tabour,Fiber,95100329325,,10.138.214.116,,10.113.89.1,10.220.144.137,10.220.148.137,10.220.152.137,10.220.156.137,Hawassa
62.0,Negele Borena,Fiber,9990000913,17972543.0,10.147.192.252 VLAN-3879,,10.112.6.1,10.220.144.28,10.220.148.28,10.220.152.28,10.220.156.28,Hawassa
63.0,Odo Doyo,Fiber,67100021727,,10.147.98.132/10.147.203.92,10.147.229.156 vlan2852,10.112.227.1,10.220.144.94,10.220.148.94,10.220.152.94,10.220.156.94,Hawassa
64.0,Rama,Fiber,44100097644,647906777.0,10.138.210.68,,10.113.30.1,10.220.144.119,10.220.148.119,10.220.152.119,10.220.156.119,Hawassa
65.0,Shafeta ,Fiber,98100643458,,10.138.215.124,,10.113.97.1,10.220.144.141,10.220.148.141,10.220.152.141,10.220.156.141,Hawassa
66.0,Shakisso,Fiber,9990000921,17972543.0,10.147.192.228 VLAN-3883,,10.112.13.1,10.220.144.43,10.220.148.43,10.220.152.43,10.220.156.43,Hawassa
67.0,Sidama Buna,Fiber,93100190723,,10.138.212.196,,10.113.61.1,10.220.144.126,10.220.148.126,10.220.152.126,10.220.156.126,Hawassa
68.0,Sumuda,Fiber,48100142738,,10.138.211.100,,10.113.36.1,10.220.144.121,10.220.148.121,10.220.152.121,10.220.156.121,Hawassa
69.0,Tabour,Fiber,9999000178,17972543.0,10.138.194.84,,10.112.5.1,10.220.144.52,10.220.148.52,10.220.152.52,10.220.156.52,Hawassa
70.0,Tesso,Fiber,9990050168,43279830.0,10.138.197.156,,10.112.131.1,10.220.144.54,10.220.148.54,10.220.152.54,10.220.156.54,Hawassa
71.0,Teticha,Fiber,9.99944E+11,,10.147.216.220 VLAN 3871,,10.113.100.1,10.220.144.142,10.220.148.142,10.220.152.142,10.220.156.142,Hawassa
72.0,Teticha VSAT,VSAT,9990029745,,172.24.0.76/10.21.106.2,172.24.0.73,,,,,,Hawassa
73.0,Tulla,Fiber,41100049021,,10.138.205.172 VLAN-3843,,10.112.205.1,10.220.144.79,10.220.148.79,10.220.152.79,10.220.156.79,Hawassa
74.0,W/Amanuel Adebabay,Fiber,64100021724,,10.138.204.212,,10.112.239.1,10.220.144.80,10.220.148.80,10.220.152.80,10.220.156.80,Hawassa
75.0,Wadera,Fiber,9990019461,33429919.0,10.147.194.156 VLAN-3892,,10.112.94.1,10.220.144.56,10.220.148.56,10.220.152.56,10.220.156.56,Hawassa
76.0,Wensho Tailored,Fiber,9.99901E+11,,10.138.214.196 VLAN 3824,,10.112.219.1,10.220.144.88,10.220.148.88,10.220.152.88,10.220.156.88,Hawassa
77.0,Wondogenet /Basha,Fiber,9990078521,,10.137.199.164 VLAN 3880,,10.112.144.1,10.220.144.59,10.220.148.59,10.220.152.59,10.220.156.59,Hawassa
78.0,Yirgalem ,Fiber,9990000166,17972543.0,10.147.192.164 VLAN- 3730,,10.112.17.1,10.220.144.64,10.220.148.64,10.220.152.64,10.220.156.64,Hawassa
79.0,Yirgalem Industry Park,Fiber,92100435422,,10.147.214.140,,10.113.94.1,10.220.144.140,10.220.148.140,10.220.152.140,10.220.156.140,Hawassa
80.0,Derara,Fiber,9.999E+11,,10.147.219.140 VLAN 3903,,10.113.114.1,10.220.144.145,10.220.148.145,10.220.152.140,10.220.156.140,Hawassa
81.0,Luwa,Fiber,93100979874,,10.138.219.124,,10.113.118.1,10.220.144.147,10.220.148.147,10.220.152.147,10.220.156.147,Hawassa
82.0,Ardaliben,Fiber,94101076105,,10.147.221.164,,10.113.136.1,10.220.144.149,10.220.148.149,10.220.152.149,10.220.156.149,Hawassa
83.0,Hawassa district CBE Noor ,Fiber,42101475513,,10.138.214.12,,10.113.154.0/25,10.220.144.153,10.220.148.153,10.220.152.153,10.220.156.153,Hawassa
84.0,Kokosa VSAT,VISAT,,,172.24.0.90,,,,,,,
